Name,P,AP
Isaiah Livers,24.340845,42.0
Sandro Mamukelashvili,27.487112,54.0
Corey Kispert,27.543636,15.0
Jericho Sims,34.890907,58.0
Davion Mitchell,18.964846,9.0
Luka Garza,25.842916,52.0
Herbert Jones,30.609903,35.0
Marcus Zegarowski,49.35856,49.0
Quentin Grimes,24.565987,25.0
Trey Murphy III,35.393932,17.0
Jason Preston,23.616543,33.0
Raiquan Gray,39.9278,59.0
Charles Bassey,11.253688,53.0
Dalano Banton,43.623882,46.0
Jared Butler,22.019861,40.0
Kessler Edwards,32.34114,44.0
Ayo Dosunmu,27.177853,38.0
Aaron Wiggins,36.96927,55.0
Joe Wieskamp,26.778954,41.0
Neemias Queta,26.59969,39.0
James Bouknight,21.797993,11.0
Franz Wagner,29.362705,8.0
David Johnson,34.908646,47.0
Nah'Shon Hyland,38.274704,26.0
Chris Duarte,13.789989,13.0
Tre Mann,35.293034,18.0
Scottie Lewis,38.706154,56.0
Santi Aldama,29.718283,30.0
Miles McBride,34.934834,36.0
Jeremiah Robinson-Earl,44.737972,32.0
Kai Jones,40.65643,19.0
Cade Cunningham,18.240108,1.0
Scottie Barnes,34.544704,4.0
Joshua Primo,34.949654,12.0
Josh Christopher,31.285635,24.0
Sharife Cooper,20.029692,48.0
Ziaire Williams,41.774853,10.0
Jalen Suggs,27.956959,5.0
Evan Mobley,20.059824,3.0
Moses Moody,18.32251,14.0
JT Thor,29.816565,37.0
Jalen Johnson,30.894583,20.0
Jaden Springer,41.33443,28.0
Cameron Thomas,32.695072,27.0
Day'Ron Sharpe,13.884324,29.0
Isaiah Jackson,19.139679,22.0
Greg Brown III,26.39228,43.0
Keon Johnson,41.41517,21.0
Brandon Boston Jr.,32.792484,51.0
